privacy	адасобленасьць
process	працэс
provider	пастаўнік
proxy	пасродак
quoted text	вытрымка
radio	радыёсувязь
range	досяг -у
recipient	атрымальнік -а
recognizer	пазнавальнік
registered	запісаліся
register	запісвацца
regulatory domain	абсяг паўнамоцтваў
reminders	напаміны
reminder	напамін
remotely	адлегла
remote	адлеглы
removable	рухомы
removed	выцягнулі
removed	сьцерлі
remove	выкрасьляць
remove	вымаць
remove	выцягваць
remove	сьцягваць
resetting	узнаўляецца
reset	узнаўляць
resolved	высьветлілі
resolve	высьвятляць
resources	запасы
resources	крыніцы
resource	запас
resource	крыніца
restart	запускаць нанова
restored	аднавілі
restore	аднаўляць
restoring	аднаўляюцца
ringtone	мэлёдыя
rotate left	павярніце налева
rotate right	павярніце направа
rows	радкі
scanning	аглядаем
scan	шукаць
screen	экран -у
scrollable	пракручвальны
SD card	картка SD
sensor	чуйнік
server	паслужнік
Service Dialing Numbers	службовыя нумары
services	службы
service	служба
settings	налады
setting up	уладкоўваць
setting	налады
set up	уладкоўваць
setup	уладкоўваць
set wallpaper	усталяваць шпалеры
shared	супольны
share	дзяліцца
shortcuts	выклічнікі
shortcut	выклічнік
show previews	аглядацца
silent mode	бязгучны стан
SIM card	картка SIM
site	пляцоўка
SMS messages	паведамленьні SMS
snooze	адкладаць
sockets	гнёзды
software	праграмныя сродкі
sorry	выбачайце
space	прастора
spam	лухта
speaker	галосьнік
speech synthesis	агучваньне
star	зорачка
status bar	паліца стану
statusbar	паліца стану
status	стан
storage	сховішча
stories	рэпартажы
story	рэпартаж
style	выгляд
successfully	пасьпяхова
superuser	спраўнік
supplicant	просьбіт
support	падтрымваць
suspended	прыпынілі
sync	сынхранізаваць
terms and conditions	умовы ды азначэньні
themes	аздабленьні
theme	аздабленьне
This alarm is set for	Будзька спрацуе праз
time zone	часавы пас
toast	вынырцы
tokens	прыкметы
token	прыкмета
tools	начыньне
total	агулам
total	разам
trackball	трэкбол
trash	сьметніца
TTS	сыстэма агучваць тэкст
typed	набралі
types	віды
type	від
type	набіраць
UID	азначальнік карыстальніка
unable	немагчыма
